4.76837158203125e-06 7 510
0.0004947185516357422 512 527 511
0.0010707378387451172 512 527 511
0.0016968250274658203 512 527 511
0.002193450927734375 512 527 511
0.0025420188903808594 512 527 511
0.0028867721557617188 512 527 510
0.0038657188415527344 512 527 510
0.004261493682861328 512 527 510
0.004625797271728516 512 527 511
0.004988908767700195 512 527 511
0.005352497100830078 512 527 511
0.00576329231262207 512 527 511
0.0061299800872802734 512 527 511
0.006493568420410156 512 527 510
0.007524013519287109 513 527 511
0.007889747619628906 513 527 511
0.008252382278442383 513 527 511
0.00861501693725586 513 527 511
0.008968591690063477 513 527 511
0.009264945983886719 513 527 511
0.009559392929077148 513 527 511
0.009874820709228516 512 527 511
0.010172843933105469 513 527 510
0.01047062873840332 512 527 511
0.01076960563659668 512 527 511
0.011070013046264648 512 527 511
0.011429071426391602 512 527 511
0.011825323104858398 512 527 510
0.012137413024902344 512 527 511
0.012445926666259766 512 527 511
0.01274418830871582 512 527 511
0.013106822967529297 512 527 511
0.013586282730102539 512 527 511
0.014128446578979492 512 527 511
0.014631032943725586 513 527 511
0.015146255493164062 512 527 511
0.015648841857910156 512 527 511
0.016160011291503906 512 527 511
0.016658306121826172 512 527 511
0.017186403274536133 512 527 510
0.017772674560546875 512 527 511
0.01827692985534668 512 527 510
0.018739938735961914 512 527 510
0.01905536651611328 512 527 510
0.019414424896240234 512 527 510
0.01977396011352539 512 527 511
0.020273923873901367 512 527 511
0.0207827091217041 512 527 511
0.0212860107421875 512 527 511
0.02185201644897461 512 527 511
0.02217555046081543 512 527 510
0.022472858428955078 512 527 510
0.022769927978515625 512 527 510
0.023067951202392578 512 527 511
0.023364782333374023 512 527 510
0.023659944534301758 512 527 510
0.02396249771118164 512 527 510
0.0242617130279541 512 527 510
0.024557828903198242 512 527 511
0.024854183197021484 512 527 510
0.02514958381652832 512 527 510
0.025444984436035156 512 527 510
0.02576422691345215 512 527 510
0.026061296463012695 512 527 510
0.026357173919677734 512 527 510
0.026654958724975586 512 527 510
0.02703237533569336 512 527 511
0.027493715286254883 512 527 510
0.027797698974609375 512 527 511
0.028095245361328125 512 527 511
0.028398513793945312 512 527 511
0.028696537017822266 512 527 511
0.028994321823120117 512 527 511
0.029349088668823242 512 527 511
0.02966904640197754 512 527 510
0.02996230125427246 512 527 510
0.0302579402923584 512 527 510
0.030651569366455078 512 527 510
0.03111100196838379 512 527 511
0.031615495681762695 512 527 511
0.032112836837768555 512 527 510
0.032622575759887695 512 527 510
0.033151865005493164 512 527 511
0.03372693061828613 512 527 510
0.03424239158630371 512 527 511
0.03477597236633301 512 527 511
0.03531289100646973 512 527 511
0.03582000732421875 512 527 510
0.03633737564086914 512 527 510
0.03684568405151367 512 527 511
0.03737020492553711 512 527 510
0.03793144226074219 511 527 511
0.038461923599243164 512 527 510
0.03898811340332031 512 527 510
0.03947019577026367 512 527 510
0.03997302055358887 512 527 510
0.04047846794128418 512 527 511
0.0409853458404541 512 527 510
0.04142904281616211 512 527 511
0.04189753532409668 512 527 510
0.04219770431518555 512 527 511
0.04265594482421875 512 527 510
0.04315304756164551 512 527 511
0.044173240661621094 512 527 511
0.045042991638183594 512 527 511
0.045360565185546875 512 527 511
0.04573822021484375 512 527 510
0.0460357666015625 512 527 511
0.046335697174072266 512 527 511
0.046648263931274414 512 527 510
0.04701042175292969 512 527 510
0.047455549240112305 512 527 510
0.04775214195251465 512 527 510
0.048044681549072266 512 527 510
0.04833626747131348 512 527 510
0.04862475395202637 512 527 510
0.04893779754638672 512 527 510
0.04922914505004883 512 527 511
0.04952096939086914 512 527 510
0.04984545707702637 512 527 511
0.05013775825500488 512 527 510
0.05042910575866699 512 527 511
0.05072140693664551 512 527 511
