5.7220458984375e-06 19 510
0.0005462169647216797 512 521 510
0.0010645389556884766 511 521 510
0.0015797615051269531 512 523 510
0.0020923614501953125 512 524 510
0.002605438232421875 512 527 510
0.0031642913818359375 511 527 510
0.004109859466552734 512 519 509
0.004625082015991211 512 519 509
0.005132436752319336 512 519 510
0.005641460418701172 512 521 510
0.006150960922241211 511 521 510
0.006657600402832031 512 523 510
0.007199525833129883 512 524 510
0.007708072662353516 512 527 510
0.00821685791015625 511 527 510
0.009586334228515625 514 519 511
0.010094642639160156 512 520 510
0.010609626770019531 511 519 510
0.011149168014526367 512 520 510
0.011681795120239258 512 521 510
0.012259244918823242 512 523 510
0.01280522346496582 513 523 510
0.013336658477783203 512 524 510
0.013893842697143555 512 524 509
0.014421463012695312 512 525 510
0.014972209930419922 512 526 509
0.015485286712646484 511 527 510
0.01595592498779297 512 528 510
0.016524314880371094 512 530 510
0.017053842544555664 512 531 510
0.017576217651367188 512 532 510
0.018123388290405273 512 535 509
0.018698453903198242 512 536 509
0.019254446029663086 511 536 510
0.0197904109954834 511 536 510
0.020339250564575195 511 536 509
0.020891904830932617 511 537 510
0.021420955657958984 510 536 510
0.021959543228149414 511 536 509
0.022491455078125 511 536 509
0.023067712783813477 511 536 509
0.023619651794433594 511 536 508
0.02416706085205078 512 535 510
0.0246889591217041 512 534 509
0.02520275115966797 512 532 510
0.02573084831237793 512 531 510
0.026265621185302734 513 531 510
0.026779651641845703 513 529 510
0.027306795120239258 513 528 510
0.0278167724609375 513 527 510
0.028376340866088867 513 525 510
0.028700828552246094 513 524 510
0.029013633728027344 513 523 510
0.029537200927734375 513 521 510
0.029905080795288086 513 520 510
0.030092954635620117 513 519 510
0.0303494930267334 512 518 509
0.030797719955444336 512 517 509
0.031026363372802734 513 518 510
0.031197547912597656 513 516 510
0.03136801719665527 512 516 510
0.03153729438781738 513 518 510
0.0317072868347168 513 517 510
0.03187751770019531 512 518 510
0.03204798698425293 513 519 510
0.03226280212402344 513 519 510
0.03247690200805664 513 521 510
0.03264784812927246 512 522 511
0.03281664848327637 513 524 510
0.0330047607421875 512 524 509
0.033181190490722656 511 525 510
0.0333554744720459 512 527 509
0.0334928035736084 512 528 510
0.03361797332763672 512 530 509
0.03373885154724121 511 531 508
0.033858299255371094 511 531 509
0.033992767333984375 511 532 509
0.034111738204956055 511 534 509
0.03422904014587402 510 536 510
0.0343480110168457 510 536 510
0.034465789794921875 511 536 509
0.03458285331726074 511 536 510
0.0347139835357666 511 537 510
0.034832000732421875 511 536 510
0.03495001792907715 512 537 510
0.03506827354431152 512 536 510
0.0351872444152832 512 536 510
0.03530597686767578 512 535 510
0.035424232482910156 511 534 509
0.03554129600524902 513 534 509
0.03565859794616699 512 532 510
0.035774946212768555 512 531 509
0.03589367866516113 511 528 509
0.0360109806060791 512 527 509
0.03612804412841797 512 526 508
0.03624558448791504 512 525 510
0.036362409591674805 512 524 510
0.03647923469543457 512 523 510
0.036596059799194336 512 522 510
0.0367131233215332 512 519 510
0.03683018684387207 513 519 511
0.03694772720336914 513 519 510
0.03706479072570801 513 518 510
0.03718209266662598 513 518 511
0.03730177879333496 513 518 510
0.03742027282714844 513 518 510
0.03753805160522461 513 518 510
0.03765583038330078 513 518 510
0.03777360916137695 513 518 510
0.037891387939453125 512 518 510
0.038008928298950195 512 519 509
0.03812694549560547 512 520 508
0.03824496269226074 511 521 510
0.03837013244628906 511 522 510
0.03846096992492676 511 524 510
